prova,data,materia,questao,conteudo
2023/1 t,dez/2022,Literatura,10,Romantismo — Gonçalves Dias e o indianismo
2023/1 t,dez/2022,Matematica,30,Proporção e grandezas
2023/1 t,dez/2022,Matematica,31,Geometria plana
2023/1 t,dez/2022,Matematica,32,Proporção e grandezas
2023/1 t,dez/2022,Matematica,33,Sistemas e equações
2023/1 t,dez/2022,Matematica,34,Probabilidade
2023/1 t,dez/2022,Matematica,35,Funções (domínio/gráfico)
2023/1 t,dez/2022,Matematica,36,PA e PG
2023/1 t,dez/2022,Matematica,37,Trigonometria
2023/1 t,dez/2022,Matematica,38,Sistemas e equações
2023/1 t,dez/2022,Matematica,39,Exponencial/Logaritmo
2023/1 t,dez/2022,Geografia,54,Cartografia – escala
2023/1 t,dez/2022,Geografia,55,América Latina
2023/1 t,dez/2022,Geografia,56,Domínios morfoclimáticos
2023/1 t,dez/2022,Geografia,57,Geopolítica – conflitos
2023/1 t,dez/2022,Geografia,58,Geopolítica – conflitos
2023/1 t,dez/2022,Geografia,59,Oriente Médio
2023/1 t,dez/2022,Geografia,60,Climatologia
2023/2,15/06/2023,Literatura,7,"Modernismo — Macunaíma, Mário de Andrade – trecho"
2023/2,15/06/2023,Literatura,8,Modernismo — Linguagem de Macunaíma
2023/2,15/06/2023,Literatura,9,Panorama — Modernismo/Quinhentismo/Romantismo
2023/2,15/06/2023,Literatura,10,"Tropicalismo — 'Panis et Circenses', Gil e Caetano"
2023/2,15/06/2023,Matematica,30,Equação do 2º grau
2023/2,15/06/2023,Matematica,31,Geometria espacial
2023/2,15/06/2023,Matematica,32,Geometria analítica
2023/2,15/06/2023,Matematica,33,Trigonometria
2023/2,15/06/2023,Matematica,34,Análise combinatória
2023/2,15/06/2023,Matematica,35,Números complexos
2023/2,15/06/2023,Matematica,36,PA e PG
2023/2,15/06/2023,Matematica,37,PA e PG
2023/2,15/06/2023,Matematica,38,Geometria plana
2023/2,15/06/2023,Matematica,39,Matrizes e determinantes
2023/2,15/06/2023,Geografia,54,Energia
2023/2,15/06/2023,Geografia,55,Riscos e desastres
2023/2,15/06/2023,Geografia,56,Urbanização
2023/2,15/06/2023,Geografia,57,Energia
2023/2,15/06/2023,Geografia,58,Climatologia
2023/2,15/06/2023,Geografia,59,Trabalho e população
2023/2,15/06/2023,Geografia,60,Questão ambiental
2024/1 d1,28/11/2023,Literatura,7,"Simbolismo — 'Ismália', Alphonsus de Guimaraens"
2024/1 d1,28/11/2023,Literatura,8,Simbolismo — Linguagem de 'Ismália'
2024/1 d1,28/11/2023,Literatura,9,"Modernismo — 'As meninas da gare', Oswald de Andrade"
2024/1 d1,28/11/2023,Literatura,10,"Barroco — 'Pesca amorosa', Botelho de Oliveira"
2024/1 d1,28/11/2023,Matematica,30,Aritmética
2024/1 d1,28/11/2023,Matematica,31,Potenciação
2024/1 d1,28/11/2023,Matematica,32,Trigonometria
2024/1 d1,28/11/2023,Matematica,33,Exponencial/Logaritmo
2024/1 d1,28/11/2023,Matematica,34,Matemática financeira
2024/1 d1,28/11/2023,Matematica,35,Exponencial/Logaritmo
2024/1 d1,28/11/2023,Matematica,36,PA e PG
2024/1 d1,28/11/2023,Matematica,37,Geometria espacial
2024/1 d1,28/11/2023,Matematica,38,Geometria analítica
2024/1 d1,28/11/2023,Matematica,39,Matrizes e determinantes
2024/1 d1,28/11/2023,Geografia,54,Climatologia; Relevo
2024/1 d1,28/11/2023,Geografia,55,Demografia
2024/1 d1,28/11/2023,Geografia,56,Amazônia; Questão ambiental
2024/1 d1,28/11/2023,Geografia,57,Geopolítica – blocos
2024/1 d1,28/11/2023,Geografia,58,Urbanização; Demografia
2024/1 d1,28/11/2023,Geografia,59,Regionalização do Brasil
2024/1 d1,28/11/2023,Geografia,60,Biomas e vegetação
2024/1 d2,29/11/2023,Literatura,7,"Literatura popular — 'Aos poetas clássicos', Patativa do Assaré"
2024/1 d2,29/11/2023,Literatura,8,Literatura popular — Oralidade e rima no cordel
2024/1 d2,29/11/2023,Literatura,9,Modernismo — Macunaíma – leitura crítica
2024/1 d2,29/11/2023,Literatura,10,Modernismo — Cordel + 1ª fase modernista
2024/1 d2,29/11/2023,Matematica,30,Função quadrática
2024/1 d2,29/11/2023,Matematica,31,Geometria plana
2024/1 d2,29/11/2023,Matematica,32,Exponencial/Logaritmo
2024/1 d2,29/11/2023,Matematica,33,Trigonometria
2024/1 d2,29/11/2023,Matematica,34,Probabilidade
2024/1 d2,29/11/2023,Matematica,35,PA e PG
2024/1 d2,29/11/2023,Matematica,36,Polinômios
2024/1 d2,29/11/2023,Matematica,37,Módulo
2024/1 d2,29/11/2023,Matematica,38,Geometria analítica
2024/1 d2,29/11/2023,Matematica,39,Matrizes e determinantes
2024/1 d2,29/11/2023,Geografia,54,Demografia
2024/1 d2,29/11/2023,Geografia,55,Cartografia – escala
2024/1 d2,29/11/2023,Geografia,56,Hidrografia
2024/1 d2,29/11/2023,Geografia,57,Relevo
2024/1 d2,29/11/2023,Geografia,58,Demografia
2024/1 d2,29/11/2023,Geografia,59,Amazônia; Transportes
2024/1 d2,29/11/2023,Geografia,60,América Latina
2024/2,jun/2024,Literatura,7,"Romantismo — Iracema, José de Alencar – trecho"
2024/2,jun/2024,Literatura,8,Romantismo — Indianismo e nacionalismo
2024/2,jun/2024,Literatura,9,Realismo — Machado de Assis – obras
2024/2,jun/2024,Literatura,10,Modernismo — Graciliano Ramos / Romance de 30
2024/2,jun/2024,Matematica,30,Geometria analítica
2024/2,jun/2024,Matematica,31,Geometria espacial
2024/2,jun/2024,Matematica,32,Exponencial/Logaritmo
2024/2,jun/2024,Matematica,33,Funções (domínio/gráfico)
2024/2,jun/2024,Matematica,34,Trigonometria
2024/2,jun/2024,Matematica,35,Módulo
2024/2,jun/2024,Matematica,36,PA e PG
2024/2,jun/2024,Matematica,37,Proporção e grandezas
2024/2,jun/2024,Matematica,38,Aritmética
2024/2,jun/2024,Matematica,39,Equação do 2º grau
2024/2,jun/2024,Geografia,54,Geopolítica – blocos
2024/2,jun/2024,Geografia,55,Cartografia – fuso horário
2024/2,jun/2024,Geografia,56,Biomas e vegetação
2024/2,jun/2024,Geografia,57,Cartografia – projeções
2024/2,jun/2024,Geografia,58,Demografia
2024/2,jun/2024,Geografia,59,Questão ambiental
2024/2,jun/2024,Geografia,60,Geopolítica – conflitos
2025/1 d1,27/11/2024,Literatura,7,Modernismo — Poema de Murilo Mendes
2025/1 d1,27/11/2024,Literatura,8,Modernismo — Vanguardas e 1ª fase
2025/1 d1,27/11/2024,Literatura,9,Realismo — Realismo brasileiro – panorama
2025/1 d1,27/11/2024,Literatura,10,Pré-Modernismo — Lima Barreto
2025/1 d1,27/11/2024,Matematica,30,Porcentagem
2025/1 d1,27/11/2024,Matematica,31,Polinômios
2025/1 d1,27/11/2024,Matematica,32,PA e PG
2025/1 d1,27/11/2024,Matematica,33,Sistemas e equações
2025/1 d1,27/11/2024,Matematica,34,Exponencial/Logaritmo
2025/1 d1,27/11/2024,Matematica,35,Trigonometria; Geometria plana
2025/1 d1,27/11/2024,Matematica,36,Matrizes e determinantes
2025/1 d1,27/11/2024,Matematica,37,Funções (domínio/gráfico)
2025/1 d1,27/11/2024,Matematica,38,Geometria analítica
2025/1 d1,27/11/2024,Matematica,39,Exponencial/Logaritmo
2025/1 d1,27/11/2024,Geografia,54,Demografia
2025/1 d1,27/11/2024,Geografia,55,Geopolítica – conflitos
2025/1 d1,27/11/2024,Geografia,56,Cartografia – escala
2025/1 d1,27/11/2024,Geografia,57,África
2025/1 d1,27/11/2024,Geografia,58,Biomas e vegetação; Questão ambiental
2025/1 d1,27/11/2024,Geografia,59,Migrações
2025/1 d1,27/11/2024,Geografia,60,Demografia
2025/1 d2,28/11/2024,Literatura,7,"Naturalismo — O Ateneu, Raul Pompeia – trecho"
2025/1 d2,28/11/2024,Literatura,8,Modernismo — Ariano Suassuna / Auto da Compadecida
2025/1 d2,28/11/2024,Literatura,9,Humanismo — Gil Vicente / Auto da Barca do Inferno
2025/1 d2,28/11/2024,Literatura,10,Panorama — Regionalismo e prosa
2025/1 d2,28/11/2024,Matematica,30,Aritmética
2025/1 d2,28/11/2024,Matematica,31,PA e PG
2025/1 d2,28/11/2024,Matematica,32,Matemática financeira
2025/1 d2,28/11/2024,Matematica,33,Probabilidade
2025/1 d2,28/11/2024,Matematica,34,Trigonometria
2025/1 d2,28/11/2024,Matematica,35,Sistemas e equações
2025/1 d2,28/11/2024,Matematica,36,Proporção e grandezas
2025/1 d2,28/11/2024,Matematica,37,Geometria espacial
2025/1 d2,28/11/2024,Matematica,38,Matrizes e determinantes
2025/1 d2,28/11/2024,Matematica,39,Polinômios
2025/1 d2,28/11/2024,Geografia,54,Biomas e vegetação
2025/1 d2,28/11/2024,Geografia,55,Geopolítica – blocos
2025/1 d2,28/11/2024,Geografia,56,Cartografia – escala
2025/1 d2,28/11/2024,Geografia,57,Energia
2025/1 d2,28/11/2024,Geografia,58,Cartografia – interpretação; Regionalização do Brasil
2025/1 d2,28/11/2024,Geografia,59,África
2025/1 d2,28/11/2024,Geografia,60,Demografia
2025/2,11/06/2025,Literatura,7,"Modernismo — 'No meio do caminho', Drummond"
2025/2,11/06/2025,Literatura,8,Modernismo — Drummond / Alguma Poesia (1930)
2025/2,11/06/2025,Literatura,9,Modernismo — Cecília Meireles – obra
2025/2,11/06/2025,Literatura,10,Teoria literária — Gênero conto
2025/2,11/06/2025,Matematica,30,Porcentagem
2025/2,11/06/2025,Matematica,31,Funções (domínio/gráfico)
2025/2,11/06/2025,Matematica,32,Geometria plana
2025/2,11/06/2025,Matematica,33,PA e PG
2025/2,11/06/2025,Matematica,34,Exponencial/Logaritmo; Geometria plana
2025/2,11/06/2025,Matematica,35,Análise combinatória
2025/2,11/06/2025,Matematica,36,Trigonometria
2025/2,11/06/2025,Matematica,37,Geometria analítica
2025/2,11/06/2025,Matematica,38,Geometria espacial
2025/2,11/06/2025,Matematica,39,Limites
2025/2,11/06/2025,Geografia,54,Oriente Médio
2025/2,11/06/2025,Geografia,55,Ásia
2025/2,11/06/2025,Geografia,56,Comércio exterior
2025/2,11/06/2025,Geografia,57,Geopolítica – blocos
2025/2,11/06/2025,Geografia,58,Biomas e vegetação
2025/2,11/06/2025,Geografia,59,Cartografia – escala
2025/2,11/06/2025,Geografia,60,Regionalização do Brasil; Demografia
2026/1 G1,26/11/2025,Literatura,7,Contemporânea — Poema de Mar Becker
2026/1 G1,26/11/2025,Literatura,8,Simbolismo — Cruz e Sousa – 'Sinfonias do ocaso'
2026/1 G1,26/11/2025,Literatura,9,Romantismo — Álvares de Azevedo / Mal do Século
2026/1 G1,26/11/2025,Literatura,10,Modernismo — As três fases do Modernismo
2026/1 G1,26/11/2025,Matematica,30,Estatística
2026/1 G1,26/11/2025,Matematica,31,Função quadrática
2026/1 G1,26/11/2025,Matematica,32,Exponencial/Logaritmo; Matrizes e determinantes
2026/1 G1,26/11/2025,Matematica,33,Trigonometria
2026/1 G1,26/11/2025,Matematica,34,Geometria analítica
2026/1 G1,26/11/2025,Matematica,35,Geometria plana
2026/1 G1,26/11/2025,Matematica,36,Geometria plana
2026/1 G1,26/11/2025,Matematica,37,Geometria espacial
2026/1 G1,26/11/2025,Matematica,38,PA e PG
2026/1 G1,26/11/2025,Matematica,39,Análise combinatória
2026/1 G1,26/11/2025,Geografia,54,Climatologia
2026/1 G1,26/11/2025,Geografia,55,Cartografia – anamorfose
2026/1 G1,26/11/2025,Geografia,56,Cartografia – escala
2026/1 G1,26/11/2025,Geografia,57,Cartografia – fuso horário
2026/1 G1,26/11/2025,Geografia,58,Geopolítica – conflitos
2026/1 G1,26/11/2025,Geografia,59,Geopolítica – conceitos
2026/1 G1,26/11/2025,Geografia,60,Questão ambiental
2026/1 G2,27/11/2025,Literatura,7,Contemporânea — Poema de Jarid Arraes
2026/1 G2,27/11/2025,Literatura,8,Classicismo — Camões – lírica e épica
2026/1 G2,27/11/2025,Literatura,9,Modernismo — Manuel Bandeira
2026/1 G2,27/11/2025,Literatura,10,"Contemporânea — Gullar, Adélia Prado, Conceição Evaristo"
2026/1 G2,27/11/2025,Matematica,30,Proporção e grandezas
2026/1 G2,27/11/2025,Matematica,31,Funções (domínio/gráfico)
2026/1 G2,27/11/2025,Matematica,32,Exponencial/Logaritmo
2026/1 G2,27/11/2025,Matematica,33,Trigonometria
2026/1 G2,27/11/2025,Matematica,34,Geometria analítica
2026/1 G2,27/11/2025,Matematica,35,Trigonometria
2026/1 G2,27/11/2025,Matematica,36,PA e PG; Geometria plana
2026/1 G2,27/11/2025,Matematica,37,Geometria espacial
2026/1 G2,27/11/2025,Matematica,38,PA e PG
2026/1 G2,27/11/2025,Matematica,39,Probabilidade
2026/1 G2,27/11/2025,Geografia,54,Demografia
2026/1 G2,27/11/2025,Geografia,55,Hidrografia; Ásia
2026/1 G2,27/11/2025,Geografia,56,Demografia
2026/1 G2,27/11/2025,Geografia,57,Cartografia – escala
2026/1 G2,27/11/2025,Geografia,58,Regionalização do Brasil
2026/1 G2,27/11/2025,Geografia,59,Cartografia – fuso horário
2026/1 G2,27/11/2025,Geografia,60,Cartografia – anamorfose
